Problem,Solution Length,Worse Rate,Parametr changed,n,min_temperature,max_temperature,probability_of_shuffle,probability_of_heuristic,a,b,duration_of_execution_in_seconds,k,max_length_percent_of_cycle,swap_states_probability,closeness,cooling_rate
kro124p,45768,-20.839888131445548,probability_of_heuristic,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv38,1633,-6.307409675443964,probability_of_heuristic,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv55,1865,-13.780160857908854,probability_of_heuristic,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ft53,8610,-19.80255516840883,probability_of_heuristic,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv35,1732,-14.953810623556592,probability_of_heuristic,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
br17,39,0.0,probability_of_heuristic,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
rbg323,1734,-23.529411764705884,probability_of_heuristic,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
rbg358,1812,-35.8167770419426,probability_of_heuristic,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
rbg443,3779,-28.02328658375231,probability_of_heuristic,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
rbg403,3466,-28.880553952683215,probability_of_heuristic,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ft70,41638,-7.1208991786349,probability_of_heuristic,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv170,3771,-26.94245558207372,probability_of_heuristic,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv47,2072,-14.285714285714292,probability_of_heuristic,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv70,2346,-16.87979539641944,probability_of_heuristic,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
p43,5665,-0.7943512797881738,a,20,0.1,100,0.4,0.6,4,2,10,20,0.3,0.1,1.5,0.95
ry48p,15971,-9.698829127794127,a,20,0.1,100,0.4,0.6,4,2,10,20,0.3,0.1,1.5,0.95
ftv44,1965,-17.91348600508907,a,20,0.1,100,0.4,0.6,4,2,10,20,0.3,0.1,1.5,0.95
ftv64,2406,-23.566084788029926,a,20,0.1,100,0.4,0.6,4,2,10,20,0.3,0.1,1.5,0.95
ftv33,1485,-13.400673400673398,a,20,0.1,100,0.4,0.6,4,2,10,20,0.3,0.1,1.5,0.95
kro124p,45877,-21.027966083222523,a,20,0.1,100,0.4,0.6,4,2,10,20,0.3,0.1,1.5,0.95
ftv38,1624,-5.78817733990148,a,20,0.1,100,0.4,0.6,4,2,10,20,0.3,0.1,1.5,0.95
ftv55,1831,-12.179137083560903,a,20,0.1,100,0.4,0.6,4,2,10,20,0.3,0.1,1.5,0.95
ft53,8289,-16.69682712027989,a,20,0.1,100,0.4,0.6,4,2,10,20,0.3,0.1,1.5,0.95
